,class,family,name_vi,order,species,url
0,Cây leo thân gỗ,,1a,Sơ ri Malpighiales,Hiptage boniana,./chitiet.php?page=1&loai=2&ID=2454
1,Cây thuốc,Mã tiền Loganiaceae,1a,Long đởm Gentianales,Strychnos rupicola,./chitiet.php?page=1&loai=2&ID=3545
2,Lan đất,Phong lan Orchidaceae,Lan chu đình vàng trơn,Phong lan Orchidales,Spathoglottis affinis,./chitiet.php?page=1&loai=2&ID=2572
3,Lan đất,Phong lan Orchidaceae,Lan hài đài cuộn,Phong lan Orchidales,Paphiopedilum appletonianum,./chitiet.php?page=1&loai=2&ID=3266
4,Lan đất,Phong lan Orchidaceae,Lan hài đốm,Phong lan Orchidales,Paphiopedilum concolor,./chitiet.php?page=1&loai=2&ID=2586
5,Lan đất,Phong lan Orchidaceae,Lan hài hồng,Phong lan Orchidales,Paphiopedilum delenatii,./chitiet.php?page=1&loai=2&ID=3267
6,Lan đất,Phong lan Orchidaceae,Lan hài hê len,Phong lan Orchidales,Paphiopedilum helenae,./chitiet.php?page=1&loai=2&ID=2135
7,Lan đất,Phong lan Orchidaceae,Lan hài hằng,Phong lan Orchidales,Paphiopedilum hangianum,./chitiet.php?page=1&loai=2&ID=2587
8,Lan đất,Phong lan Orchidaceae,Lan hài kim,Phong lan Orchidales,Paphiopedilum armeniacum,./chitiet.php?page=1&loai=2&ID=3414
9,Lan đất,Phong lan Orchidaceae,Lan hài lông,Phong lan Orchidales,Paphiopedilum hirsutissimum,./chitiet.php?page=1&loai=2&ID=3268
10,Lan đất,Phong lan Orchidaceae,Lan hài lục,Phong lan Orchidales,Paphiopedilum gratrixianum,./chitiet.php?page=1&loai=2&ID=2432
11,Lan đất,Phong lan Orchidaceae,Lan hài malipo,Phong lan Orchidales,Paphiopedilum malipoense,./chitiet.php?page=1&loai=2&ID=2584
12,Lan đất,Phong lan Orchidaceae,Lan hài râu,Phong lan Orchidales,Paphiopedilum dianthum,./chitiet.php?page=1&loai=2&ID=3415
13,Lan đất,Phong lan Orchidaceae,Lan hài tía,Phong lan Orchidales,Paphiopedilum purpuratum,./chitiet.php?page=1&loai=2&ID=2263
14,Lan đất,Phong lan Orchidaceae,Lan hài trần liên,Phong lan Orchidales,Paphiopedilum tranlienianum,./chitiet.php?page=1&loai=2&ID=3416
15,Lan đất,Phong lan Orchidaceae,Lan hài vàng,Phong lan Orchidales,Paphiopedilum villosum,./chitiet.php?page=1&loai=2&ID=3417
16,Lan đất,Phong lan Orchidaceae,Lan hài vân,Phong lan Orchidales,Paphiopedilum callosum,./chitiet.php?page=1&loai=2&ID=2134
