,class_id,num_images
0,236371,12
1,204536,52
2,307659,130
3,69767,10
4,243894,32
5,95252,38
6,263402,24
7,326278,180
8,83877,20
9,326636,42
10,43643,48
11,141067,8
12,306371,18
13,59143,16
14,88299,78
15,247390,8
16,35270,10
17,255813,10
18,300134,8
19,81451,30
20,97373,12
21,45377,280
22,234783,16
23,211007,22
24,256555,26
25,137633,12
26,201847,14
27,214130,12
28,188877,44
29,122238,14
30,115942,36
31,146104,28
32,81319,30
33,46604,140
34,306255,18
35,74910,44
36,285558,32
37,111230,10
38,19487,14
39,146766,36
40,45562,22
41,50355,12
42,99194,10
43,69129,16
44,317525,86
45,185237,8
46,313820,8
47,287491,30
48,105603,42
49,117536,64
50,185513,78
51,330395,20
52,45302,22
53,270633,94
54,16261,8
55,42688,12
56,58064,70
57,138469,8
58,148353,54
59,185173,30
60,74380,10
61,75221,8
62,122373,18
63,185578,50
64,140539,36
65,35527,10
66,16378,20
67,313150,14
68,139942,26
69,59017,8
70,89904,8
71,138946,46
72,59877,42
73,255874,16
74,127416,18
75,96843,60
76,307418,180
77,64093,38
78,319723,28
79,316352,20
80,255942,92
81,212660,106
82,181997,10
83,58096,14
84,184182,14
85,15859,120
86,300064,20
87,307702,24
88,243090,62
89,256088,8
90,105661,70
91,319242,146
92,283883,8
93,159837,36
94,227478,30
95,275670,12
96,104363,26
97,192305,12
98,81097,48
99,282779,82
100,7822,28
101,68220,8
102,256082,16
103,137598,14
104,84447,18
105,84330,84
106,65818,90
107,254001,16
108,45210,150
109,251921,424
110,169639,10
111,18225,16
112,255765,18
113,270644,26
114,136979,40
115,309297,444
116,172196,22
117,187445,28
118,60694,16
119,37088,24
120,313127,36
121,247335,82
122,308248,84
123,88244,80
124,62566,12
125,288398,126
126,193304,8
127,176703,20
128,273253,10
129,112237,14
130,44518,124
131,287072,226
132,197159,68
133,20851,34
134,142490,10
135,91441,18
136,148811,16
137,252015,30
138,184206,12
139,109527,16
140,288410,20
141,62605,24
142,326361,8
143,319708,14
144,8640,12
145,185522,94
146,171750,12
147,213139,10
148,168961,8
149,174748,10
150,186048,330
151,329780,14
